Voltage,Current
00,0
01,0
02,0
03,0
04,0
05,0
06,0
07,0
08,0
09,0
10,0
11,0
12,0
13,0
14,1.10
15,1.67
16,1.98
17,2.22
18,2.41
19,2.31
20,2.12
21,1.81
22,1.53
23,1.48
24,1.85
25,2.58
26,3.25
27,3.71
28,3.93
29,4.03
30,4.02
31,3.89
32,3.24
33,2.55
34,1.93
35,1.21
36,1.31
37,2.36
38,3.72
39,4.90
40,5.57
41,5.82
42,5.59
43,4.87
44,3.72
45,2.54
46,1.55
47,1.14
48,1.79
49,3.52
50,5.48
51,7.16
52,7.97
53,8.16
54,7.93
55,6.63
56,5.67
57,3.44
58,2.18
59,1.58
60,2.49
